usuario,genero,minutos_reproducidos
u00001,Romance,27
u00002,Romance,223
u00003,Animacion,261
u00004,Documental,387
u00005,Terror,121
u00006,Drama,43
u00007,Accion,24
u00008,Comedia,104
u00009,Animacion,221
u00010,CienciaFiccion,481
u00011,CienciaFiccion,230
u00012,Romance,149
u00013,Animacion,117
u00014,Comedia,421
u00015,CienciaFiccion,217
u00016,Accion,305
u00017,Animacion,378
u00018,Terror,174
u00019,Animacion,322
u00020,Animacion,35
u00021,Documental,171
u00022,Romance,224
u00023,Romance,380
u00024,Terror,328
u00025,Documental,93
u00026,Romance,216
u00027,Romance,122
u00028,Accion,472
u00029,CienciaFiccion,362
u00030,Drama,452
u00031,CienciaFiccion,500
u00032,Accion,133
u00033,Drama,328
u00034,Comedia,460
u00035,Accion,434
u00036,Terror,149
u00037,Accion,488
u00038,Comedia,495
u00039,Romance,180
u00040,Terror,204
u00041,CienciaFiccion,197
u00042,CienciaFiccion,486
u00043,Comedia,106
u00044,Drama,64
u00045,CienciaFiccion,357
u00046,Accion,237
u00047,Accion,284
u00048,Documental,479
u00049,CienciaFiccion,2
u00050,Documental,495
u00051,Drama,45
u00052,Comedia,327
u00053,Drama,492
u00054,Romance,297
u00055,Drama,332
u00056,Animacion,95
u00057,Documental,105
u00058,Romance,386
u00059,CienciaFiccion,104
u00060,Comedia,1
u00061,Animacion,377
u00062,Comedia,105
u00063,Terror,494
u00064,CienciaFiccion,149
u00065,Comedia,29
u00066,Animacion,159
u00067,Drama,262
u00068,Accion,262
u00069,Drama,11
u00070,Documental,424
u00071,CienciaFiccion,16
u00072,Drama,99
u00073,Romance,200
u00074,Animacion,137
u00075,Comedia,267
u00076,Accion,154
u00077,Comedia,436
u00078,Drama,344
u00079,Documental,166
u00080,Accion,284
u00081,Animacion,4
u00082,Drama,403
u00083,Animacion,185
u00084,Documental,195
u00085,Romance,155
u00086,Accion,215
u00087,Accion,88
u00088,Documental,318
u00089,Documental,397
u00090,Terror,116
u00091,Accion,116
u00092,Drama,481
u00093,Documental,499
u00094,Drama,71
u00095,Romance,88
u00096,Animacion,222
u00097,Accion,66
u00098,Romance,286
u00099,Comedia,97
u00100,Romance,473
u00101,Comedia,185
u00102,Documental,122
u00103,Comedia,119
u00104,Romance,386
u00105,Animacion,30
u00106,CienciaFiccion,173
u00107,Romance,286
u00108,Animacion,62
u00109,Animacion,122
u00110,Terror,381
u00111,Terror,253
u00112,CienciaFiccion,58
u00113,Comedia,351
u00114,Drama,181
u00115,Animacion,415
u00116,Animacion,402
u00117,Animacion,337
u00118,Drama,417
u00119,Documental,78
u00120,Romance,432
u00121,Romance,248
u00122,Terror,176
u00123,Documental,28
u00124,Comedia,9
u00125,CienciaFiccion,35
u00126,Animacion,147
u00127,Comedia,79
u00128,Comedia,290
u00129,Terror,466
u00130,Accion,319
u00131,Comedia,128
u00132,Accion,438
u00133,Comedia,401
u00134,Animacion,359
u00135,Terror,135
u00136,CienciaFiccion,120
u00137,CienciaFiccion,104
u00138,Documental,406
u00139,Romance,325
u00140,Accion,475
u00141,Accion,187
u00142,Animacion,145
u00143,Accion,356
u00144,Romance,254
u00145,Terror,85
u00146,Drama,83
u00147,Romance,429
u00148,Accion,454
u00149,Romance,412
u00150,CienciaFiccion,318
u00151,Terror,347
u00152,Drama,443
u00153,Animacion,75
u00154,Accion,121
u00155,Terror,378
u00156,Accion,235
u00157,Comedia,330
u00158,Documental,316
u00159,Accion,474
u00160,Terror,234
u00161,Animacion,225
u00162,Comedia,342
u00163,Comedia,448
u00164,Drama,422
u00165,Accion,347
u00166,CienciaFiccion,33
u00167,Animacion,73
u00168,Documental,320
u00169,Drama,206
u00170,Comedia,354
u00171,Drama,357
u00172,Comedia,311
u00173,Romance,451
u00174,CienciaFiccion,291
u00175,Comedia,381
u00176,Romance,208
u00177,Drama,45
u00178,Documental,1
u00179,Comedia,247
u00180,Comedia,295
u00181,Animacion,87
u00182,Animacion,484
u00183,Terror,450
u00184,Terror,139
u00185,Documental,49
u00186,CienciaFiccion,121
u00187,Accion,36
u00188,CienciaFiccion,104
u00189,Comedia,78
u00190,CienciaFiccion,78
u00191,CienciaFiccion,147
u00192,Accion,149
u00193,Terror,172
u00194,Documental,456
u00195,Drama,198
u00196,Documental,281
u00197,Romance,233
u00198,Animacion,131
u00199,Terror,301
u00200,Terror,113
u00201,Romance,310
u00202,Terror,10
u00203,Romance,380
u00204,Drama,390
u00205,Terror,465
u00206,CienciaFiccion,364
u00207,Terror,169
u00208,CienciaFiccion,93
u00209,Romance,201
u00210,Drama,393
u00211,Documental,169
u00212,Accion,211
u00213,Animacion,37
u00214,Romance,60
u00215,Romance,473
u00216,CienciaFiccion,268
u00217,Documental,315
u00218,Documental,162
u00219,CienciaFiccion,77
u00220,Terror,125
u00221,Animacion,315
u00222,Romance,453
u00223,Documental,375
u00224,CienciaFiccion,362
u00225,Comedia,344
u00226,Comedia,438
u00227,Documental,341
u00228,Accion,490
u00229,CienciaFiccion,219
u00230,Documental,219
u00231,Accion,453
u00232,Animacion,114
u00233,Terror,270
u00234,Documental,388
u00235,Drama,305
u00236,Accion,137
u00237,Animacion,400
u00238,Animacion,471
u00239,Drama,172
u00240,CienciaFiccion,267
u00241,Terror,221
u00242,Comedia,238
u00243,Documental,264
u00244,Drama,4
u00245,Terror,489
u00246,Documental,57
u00247,Terror,251
u00248,Animacion,248
u00249,Accion,460
u00250,Terror,391
u00251,Romance,194
u00252,Terror,492
u00253,Comedia,158
u00254,Comedia,287
u00255,Accion,202
u00256,Accion,337
u00257,Animacion,339
u00258,Documental,232
u00259,Drama,266
u00260,Romance,70
u00261,Documental,356
u00262,Animacion,21
u00263,Animacion,358
u00264,Animacion,59
u00265,Animacion,188
u00266,Accion,86
u00267,Terror,203
u00268,Terror,351
u00269,Animacion,140
u00270,Documental,31
u00271,Romance,29
u00272,Drama,254
u00273,Documental,302
u00274,Accion,298
u00275,CienciaFiccion,159
u00276,Animacion,23
u00277,Comedia,162
u00278,Comedia,200
u00279,Animacion,366
u00280,CienciaFiccion,136
u00281,CienciaFiccion,250
u00282,Documental,39
u00283,Accion,210
u00284,Accion,117
u00285,Romance,424
u00286,Terror,26
u00287,Comedia,173
u00288,Terror,111
u00289,Accion,298
u00290,Terror,394
u00291,Documental,145
u00292,Drama,136
u00293,Drama,215
u00294,Drama,356
u00295,Romance,102
u00296,Accion,19
u00297,Terror,422
u00298,Animacion,370
u00299,Romance,217
u00300,Accion,392
u00301,Accion,382
u00302,Accion,335
u00303,Animacion,432
