usuario,genero,minutos_reproducidos
u00001,CienciaFiccion,464
u00002,Drama,25
u00003,Romance,92
u00004,Documental,293
u00005,Drama,130
u00006,CienciaFiccion,338
u00007,Animacion,300
u00008,Documental,460
u00009,Accion,89
u00010,Drama,110
u00011,Accion,8
u00012,Romance,139
u00013,Terror,407
u00014,Accion,212
u00015,CienciaFiccion,208
u00016,Accion,489
u00017,CienciaFiccion,180
u00018,Documental,391
u00019,Terror,112
u00020,Comedia,244
u00021,CienciaFiccion,332
u00022,Comedia,29
u00023,Documental,330
u00024,Drama,197
u00025,Terror,155
u00026,Drama,137
u00027,Comedia,90
u00028,Documental,43
u00029,Accion,351
u00030,Terror,496
u00031,Terror,456
u00032,Terror,480
u00033,Animacion,378
u00034,Comedia,143
u00035,Animacion,209
u00036,Documental,205
u00037,Accion,483
u00038,Animacion,231
u00039,Comedia,467
u00040,CienciaFiccion,353
u00041,Comedia,309
u00042,Terror,424
u00043,Accion,137
u00044,Romance,52
u00045,Drama,14
u00046,Terror,187
u00047,CienciaFiccion,347
u00048,CienciaFiccion,81
u00049,Documental,411
u00050,Documental,394
u00051,Comedia,244
u00052,Drama,299
u00053,CienciaFiccion,175
u00054,Documental,272
u00055,Comedia,139
u00056,Accion,226
u00057,Accion,163
u00058,Comedia,439
u00059,Comedia,325
u00060,Accion,400
u00061,Animacion,305
u00062,Romance,315
u00063,Terror,365
u00064,Romance,22
u00065,Terror,15
u00066,Comedia,85
u00067,CienciaFiccion,167
u00068,Documental,345
u00069,Comedia,273
u00070,Animacion,68
u00071,Terror,396
u00072,Terror,129
u00073,Documental,180
u00074,Accion,290
u00075,Animacion,172
u00076,Drama,493
u00077,Documental,298
u00078,Drama,194
u00079,CienciaFiccion,359
u00080,Animacion,254
u00081,Drama,178
u00082,Drama,44
u00083,Terror,151
u00084,Documental,392
u00085,CienciaFiccion,162
u00086,CienciaFiccion,115
u00087,Comedia,257
u00088,Romance,78
u00089,Romance,96
u00090,Comedia,319
u00091,Comedia,264
u00092,Terror,466
u00093,Comedia,447
u00094,Documental,27
u00095,Romance,123
u00096,Accion,137
u00097,Drama,417
u00098,Accion,316
u00099,Animacion,333
u00100,Romance,18
u00101,Romance,352
u00102,Animacion,258
u00103,Accion,251
u00104,Romance,183
u00105,Documental,69
u00106,Drama,87
u00107,CienciaFiccion,393
u00108,Romance,426
u00109,Animacion,407
u00110,Accion,1
u00111,Comedia,134
u00112,Comedia,55
u00113,Animacion,288
u00114,Documental,470
u00115,Terror,455
u00116,CienciaFiccion,5
u00117,CienciaFiccion,95
u00118,Accion,111
u00119,Animacion,209
u00120,Drama,465
u00121,CienciaFiccion,219
u00122,CienciaFiccion,121
u00123,Drama,399
u00124,Drama,295
u00125,CienciaFiccion,194
u00126,Comedia,489
u00127,Romance,314
u00128,Accion,414
u00129,Animacion,195
u00130,Documental,427
